abbreviation	officialName	equation	subSystem	proteinClass	geneAssociation
PLIPA1E140pp	Phospholipase A1 (phosphatidylethanolamine, n-C14:0) (periplasm)	[p] : h2o + pe140 --> 2agpe140 + h + ttdca	Glycerophospholipid Metabolism	3.1.1.32	b3821
PLIPA1E141pp	Phospholipase A1 (phosphatidylethanolamine, n-C14:1) (periplasm)	[p] : h2o + pe141 --> 2agpe141 + h + ttdcea	Glycerophospholipid Metabolism	3.1.1.32	b3821
PLIPA1E160pp	Phospholipase A1 (phosphatidylethanolamine, n-C16:0) (periplasm)	[p] : h2o + pe160 --> 2agpe160 + h + hdca	Glycerophospholipid Metabolism	3.1.1.32	b3821
PLIPA1E161pp	Phospholipase A1 (phosphatidylethanolamine, n-C16:1) (periplasm)	[p] : h2o + pe161 --> 2agpe161 + h + hdcea	Glycerophospholipid Metabolism	3.1.1.32	b3821
PLIPA1E180pp	Phospholipase A1 (phosphatidylethanolamine, n-C18:0) (periplasm)	[p] : h2o + pe180 --> 2agpe180 + h + ocdca	Glycerophospholipid Metabolism	3.1.1.32	b3821
PLIPA1E181pp	Phospholipase A1 (phosphatidylethanolamine, n-C18:1) (periplasm)	[p] : h2o + pe181 --> 2agpe181 + h + ocdcea	Glycerophospholipid Metabolism	3.1.1.32	b3821
PLIPA1G120pp	Phospholipase A1 (phosphatidylglycerol, n-C12:0) (periplasm)	[p] : h2o + pg120 --> 2agpg120 + ddca + h	Glycerophospholipid Metabolism	3.1.1.32	b3821
PLIPA1G140pp	Phospholipase A1 (phosphatidylglycerol, n-C14:0) (periplasm)	[p] : h2o + pg140 --> 2agpg140 + h + ttdca	Glycerophospholipid Metabolism	3.1.1.32	b3821
PLIPA1G141pp	Phospholipase A1 (phosphatidylglycerol, n-C14:1) (periplasm)	[p] : h2o + pg141 --> 2agpg141 + h + ttdcea	Glycerophospholipid Metabolism	3.1.1.32	b3821
PLIPA1G160pp	Phospholipase A1 (phosphatidylglycerol, n-C16:0) (periplasm)	[p] : h2o + pg160 --> 2agpg160 + h + hdca	Glycerophospholipid Metabolism	3.1.1.32	b3821
PLIPA1G161pp	Phospholipase A1 (phosphatidylglycerol, n-C16:1) (periplasm)	[p] : h2o + pg161 --> 2agpg161 + h + hdcea	Glycerophospholipid Metabolism	3.1.1.32	b3821
PLIPA1G180pp	Phospholipase A1 (phosphatidylglycerol, n-C18:0) (periplasm)	[p] : h2o + pg180 --> 2agpg180 + h + ocdca	Glycerophospholipid Metabolism	3.1.1.32	b3821
PLIPA1G181pp	Phospholipase A1 (phosphatidylglycerol, n-C18:1) (periplasm)	[p] : h2o + pg181 --> 2agpg181 + h + ocdcea	Glycerophospholipid Metabolism	3.1.1.32	b3821
PLIPA2A120pp	Phospholipase A2 (phosphatidate, n-C12:0) (periplasm)	[p] : h2o + pa120 --> 1ddecg3p + ddca + h	Glycerophospholipid Metabolism	3.1.1.4	b3821
PLIPA2A140pp	Phospholipase A2 (phosphatidate, n-C14:0) (periplasm)	[p] : h2o + pa140 --> 1tdecg3p + h + ttdca	Glycerophospholipid Metabolism	3.1.1.4	b3821
PLIPA2A141pp	Phospholipase A2 (phosphatidate, n-C14:1) (periplasm)	[p] : h2o + pa141 --> 1tdec7eg3p + h + ttdcea	Glycerophospholipid Metabolism	3.1.1.4	b3821
PLIPA2A160pp	Phospholipase A2 (phosphatidate, n-C16:0) (periplasm)	[p] : h2o + pa160 --> 1hdecg3p + h + hdca	Glycerophospholipid Metabolism	3.1.1.4	b3821
PLIPA2A161pp	Phospholipase A2 (phosphatidate, n-C16:1) (periplasm)	[p] : h2o + pa161 --> 1hdec9eg3p + h + hdcea	Glycerophospholipid Metabolism	3.1.1.4	b3821
PLIPA2A180pp	Phospholipase A2 (phosphatidate, n-C18:0) (periplasm)	[p] : h2o + pa180 --> 1odecg3p + h + ocdca	Glycerophospholipid Metabolism	3.1.1.4	b3821
PLIPA2A181pp	Phospholipase A2 (phosphatidate, n-C18:1) (periplasm)	[p] : h2o + pa181 --> 1odec11eg3p + h + ocdcea	Glycerophospholipid Metabolism	3.1.1.4	b3821
PLIPA2E120pp	Phospholipase A2 (phosphatidylethanolamine, n-C12:0) (periplasm)	[p] : h2o + pe120 --> 1agpe120 + ddca + h	Glycerophospholipid Metabolism	3.1.1.4	b3821
PLIPA2E140pp	Phospholipase A2 (phosphatidylethanolamine, n-C14:0) (periplasm)	[p] : h2o + pe140 --> 1agpe140 + h + ttdca	Glycerophospholipid Metabolism	3.1.1.4	b3821
PLIPA2E141pp	Phospholipase A2 (phosphatidylethanolamine, n-C14:1) (periplasm)	[p] : h2o + pe141 --> 1agpe141 + h + ttdcea	Glycerophospholipid Metabolism	3.1.1.4	b3821
PLIPA2E160pp	Phospholipase A2 (phosphatidylethanolamine, n-C16:0) (periplasm)	[p] : h2o + pe160 --> 1agpe160 + h + hdca	Glycerophospholipid Metabolism	3.1.1.4	b3821
PLIPA2E161pp	Phospholipase A2 (phosphatidylethanolamine, n-C16:1) (periplasm)	[p] : h2o + pe161 --> 1agpe161 + h + hdcea	Glycerophospholipid Metabolism	3.1.1.4	b3821
PLIPA2E180pp	Phospholipase A2 (phosphatidylethanolamine, n-C18:0) (periplasm)	[p] : h2o + pe180 --> 1agpe180 + h + ocdca	Glycerophospholipid Metabolism	3.1.1.4	b3821
PLIPA2E181pp	Phospholipase A2 (phosphatidylethanolamine, n-C18:1) (periplasm)	[p] : h2o + pe181 --> 1agpe181 + h + ocdcea	Glycerophospholipid Metabolism	3.1.1.4	b3821
PLIPA2G120pp	Phospholipase A2 (phosphatidylglycerol, n-C12:0) (periplasm)	[p] : h2o + pg120 --> 1agpg120 + ddca + h	Glycerophospholipid Metabolism	3.1.1.4	b3821
PLIPA2G140pp	Phospholipase A2 (phosphatidylglycerol, n-C14:0) (periplasm)	[p] : h2o + pg140 --> 1agpg140 + h + ttdca	Glycerophospholipid Metabolism	3.1.1.4	b3821
PLIPA2G141pp	Phospholipase A2 (phosphatidylglycerol, n-C14:1) (periplasm)	[p] : h2o + pg141 --> 1agpg141 + h + ttdcea	Glycerophospholipid Metabolism	3.1.1.4	b3821
PLIPA2G160pp	Phospholipase A2 (phosphatidylglycerol, n-C16:0) (periplasm)	[p] : h2o + pg160 --> 1agpg160 + h + hdca	Glycerophospholipid Metabolism	3.1.1.4	b3821
PLIPA2G161pp	Phospholipase A2 (phosphatidylglycerol, n-C16:1) (periplasm)	[p] : h2o + pg161 --> 1agpg161 + h + hdcea	Glycerophospholipid Metabolism	3.1.1.4	b3821
PLIPA2G180pp	Phospholipase A2 (phosphatidylglycerol, n-C18:0) (periplasm)	[p] : h2o + pg180 --> 1agpg180 + h + ocdca	Glycerophospholipid Metabolism	3.1.1.4	b3821
PLIPA2G181pp	Phospholipase A2 (phosphatidylglycerol, n-C18:1) (periplasm)	[p] : h2o + pg181 --> 1agpg181 + h + ocdcea	Glycerophospholipid Metabolism	3.1.1.4	b3821
PMANM	phosphomannomutase	[c] : man1p <==> man6p	Alternate Carbon Metabolism	5.4.2.8	b2048
PMDPHT	pyrimidine phosphatase	[c] : 5aprbu + h2o --> 4r5au + pi	Cofactor and Prosthetic Group Biosynthesis		
PMPK	phosphomethylpyrimidine kinase	[c] : 4ampm + atp --> 2mahmp + adp	Cofactor and Prosthetic Group Biosynthesis	2.7.4.7	b2103
PNTK	pantothenate kinase	[c] : atp + pnto-R --> 4ppan + adp + h	Cofactor and Prosthetic Group Biosynthesis	2.7.1.33	b3974
PNTOt4pp	Pantothenate sodium symporter (periplasm)	na1[p] + pnto-R[p] --> na1[c] + pnto-R[c]	Transport, Inner Membrane		b3258
PNTOtex	Pantothenate transport via diffusion (extracellular to periplasm)	pnto-R[e] <==> pnto-R[p]	Transport, Outer Membrane Porin		( b0241  or  b0929  or  b1377  or  b2215 )
POX	pyruvate oxidase	[c] : h2o + pyr + q8 --> ac + co2 + q8h2	Oxidative Phosphorylation	1.2.2.2	b0871
PPA	inorganic diphosphatase	[c] : h2o + ppi --> h + (2) pi	Anaplerotic Reactions	3.6.1.1	( b4226  or  b2502  or  b2744 )
PPA2	inorganic triphosphatase	[c] : h2o + pppi --> h + pi + ppi	Anaplerotic Reactions	3.6.1.1	( b2744  or  b2502 )
PPAKr	Propionate kinase	[c] : adp + ppap <==> atp + ppa	Alternate Carbon Metabolism	2.7.2.1	b3115
PPALtex	propanal transport via diffusion (extracellular to periplasm)	ppal[e] <==> ppal[p]	Transport, Outer Membrane Porin		( b0241  or  b0929  or  b1377  or  b2215 )
PPALtpp	propanal transport via channel (periplasm)	ppal[c] <==> ppal[p]	Transport, Inner Membrane		
PPAt4pp	Na+/Propionate symporter (periplasm)	na1[p] + ppa[p] --> na1[c] + ppa[c]	Transport, Inner Membrane		b1015
PPAtex	propionate transport via diffusion	ppa[e] <==> ppa[p]	Transport, Outer Membrane Porin		( b1377  or  b0929  or  b2215  or  b0241 )
PPBNGS	porphobilinogen synthase	[c] : (2) 5aop --> h + (2) h2o + ppbng	Cofactor and Prosthetic Group Biosynthesis	4.2.1.24	b0369
PPC	phosphoenolpyruvate carboxylase	[c] : co2 + h2o + pep --> h + oaa + pi	Anaplerotic Reactions	4.1.1.31	b3956
PPCDC	phosphopantothenoylcysteine decarboxylase	[c] : 4ppcys + h --> co2 + pan4p	Cofactor and Prosthetic Group Biosynthesis	4.1.1.36	b3639
PPCK	phosphoenolpyruvate carboxykinase	[c] : atp + oaa --> adp + co2 + pep	Anaplerotic Reactions	4.1.1.49	b3403
PPCSCT	Propanoyl-CoA: succinate CoA-transferase	[c] : ppcoa + succ --> ppa + succoa	Alternate Carbon Metabolism		b2920
PPGPPDP	guanosine-3',5'-bis(diphosphate) 3'-diphosphatase	[c] : h2o + ppgpp --> gdp + ppi	Cofactor and Prosthetic Group Biosynthesis	3.1.7.2	b3650
PPK2r	polyphosphate kinase	[c] : atp + ppi <==> adp + pppi	Oxidative Phosphorylation	2.7.4.1	b2501
PPKr	polyphosphate kinase	[c] : atp + pi <==> adp + ppi	Oxidative Phosphorylation	2.7.4.1	b2501
PPM	phosphopentomutase	[c] : r1p <==> r5p	Alternate Carbon Metabolism	5.4.2.7	( b4383  or  b3380 )
PPM2	phosphopentomutase 2 (deoxyribose)	[c] : 2dr1p <==> 2dr5p	Alternate Carbon Metabolism	5.4.2.7	b4383
PPNCL2	phosphopantothenate-cysteine ligase	[c] : 4ppan + ctp + cys-L --> 4ppcys + cmp + h + ppi	Cofactor and Prosthetic Group Biosynthesis	6.3.2.5	b3639
PPND	prephenate dehydrogenase	[c] : nad + pphn --> 34hpp + co2 + nadh	Tyrosine, Tryptophan, and Phenylalanine Metabolism	1.3.1.12	b2600
PPNDH	prephenate dehydratase	[c] : h + pphn --> co2 + h2o + phpyr	Tyrosine, Tryptophan, and Phenylalanine Metabolism	4.2.1.51	b2599
PPPGO	protoporphyrinogen oxidase (aerobic)	[c] : (1.5) o2 + pppg9 --> (3) h2o + ppp9	Cofactor and Prosthetic Group Biosynthesis	1.3.3.4	b3850
PPPGO3	protoporphyrinogen oxidase (anaerobic)	[c] : (3) fum + pppg9 --> ppp9 + (3) succ	Cofactor and Prosthetic Group Biosynthesis	1.3.3.4	b3850
PPPNDO	Phenylpropanoate Dioxygenase	[c] : h + nadh + o2 + pppn --> cechddd + nad	Alternate Carbon Metabolism		( b2538  and  b2539  and  b2540  and  b2542 )
PPPNt2rpp	3-phenylpropionate transport via proton symport, reversible (periplasm)	h[p] + pppn[p] <==> h[c] + pppn[c]	Transport, Inner Membrane		b2536
PPPNtex	3-phenylpropionate transport via diffusion (extracellular to periplasm)	pppn[e] <==> pppn[p]	Transport, Outer Membrane Porin		( b0241  or  b0929  or  b1377  or  b2215 )
PPS	phosphoenolpyruvate synthase	[c] : atp + h2o + pyr --> amp + (2) h + pep + pi	Glycolysis/Gluconeogenesis	2.7.9.2	b1702
PPTHpp	Phosphonate hydrogenase (periplasm)	[p] : h2o + ppt --> h2 + pi	Unassigned		b0383
PPTtex	Phosphonate transport via diffusion (extracellular to periplasm)	ppt[e] <==> ppt[p]	Transport, Outer Membrane Porin		( b0241  or  b0929  or  b1377  or  b2215 )
PRAGSr	phosphoribosylglycinamide synthase	[c] : atp + gly + pram <==> adp + gar + h + pi	Purine and Pyrimidine Biosynthesis	6.3.4.13	b4005
PRAIi	phosphoribosylanthranilate isomerase (irreversible)	[c] : pran --> 2cpr5p	Tyrosine, Tryptophan, and Phenylalanine Metabolism	5.3.1.24	b1262
PRAIS	phosphoribosylaminoimidazole synthase	[c] : atp + fpram --> adp + air + (2) h + pi	Purine and Pyrimidine Biosynthesis	6.3.3.1	b2499
PRAMPC	phosphoribosyl-AMP cyclohydrolase	[c] : h2o + prbamp --> prfp	Histidine Metabolism	3.5.4.19	b2026
PRASCS	phosphoribosylaminoimidazolesuccinocarboxamide synthase	[c] : 5aizc + asp-L + atp --> 25aics + adp + h + pi	Purine and Pyrimidine Biosynthesis	6.3.2.6	b2476
PRATPP	phosphoribosyl-ATP pyrophosphatase	[c] : h2o + prbatp --> h + ppi + prbamp	Histidine Metabolism	3.6.1.31	b2026
PRFGS	phosphoribosylformylglycinamidine synthase	[c] : atp + fgam + gln-L + h2o --> adp + fpram + glu-L + h + pi	Purine and Pyrimidine Biosynthesis	6.3.5.3	b2557
PRMICI	1-(5-phosphoribosyl)-5-[(5-phosphoribosylamino)methylideneamino)imidazole-4-carboxamide isomerase	[c] : prfp <==> prlp	Histidine Metabolism	5.3.1.16	b2024
PROabcpp	L-proline transport via ABC system (periplasm)	atp[c] + h2o[c] + pro-L[p] --> adp[c] + h[c] + pi[c] + pro-L[c]	Transport, Inner Membrane		( b2677  and  b2678  and  b2679 )
PROD2	Proline dehydrogenase	[c] : fad + pro-L --> 1pyr5c + fadh2 + h	Arginine and Proline Metabolism	1.5.99.8	b1014
PROGLYabcpp	L-Prolinylglycine (Pro-Gly) transport via ABC system (periplasm)	atp[c] + h2o[c] + progly[p] --> adp[c] + h[c] + pi[c] + progly[c]	Transport, Inner Membrane		( b3544  and  b3543  and  b3542  and  b3541  and  b3540 )
PROGLYtex	L-Prolinylglycine transport via diffusion (extracellular to periplasm)	progly[e] <==> progly[p]	Transport, Outer Membrane Porin		( b0241  or  b0929  or  b1377  or  b2215 )
PROt2rpp	L-proline reversible transport via proton symport (periplasm)	h[p] + pro-L[p] <==> h[c] + pro-L[c]	Transport, Inner Membrane		b4111
PROt4pp	Na+/Proline-L symporter (periplasm)	na1[p] + pro-L[p] --> na1[c] + pro-L[c]	Transport, Inner Membrane		b1015
PROtex	L-proline transport via diffusion (extracellular to periplasm)	pro-L[e] <==> pro-L[p]	Transport, Outer Membrane Porin		( b0241  or  b0929  or  b1377  or  b2215 )
PROTRS	Prolyl-tRNA synthetase	[c] : atp + pro-L + trnapro --> amp + ppi + protrna	tRNA Charging	6.1.1.15	b0194
PRPPS	phosphoribosylpyrophosphate synthetase	[c] : atp + r5p <==> amp + h + prpp	Histidine Metabolism	2.7.6.1	b1207
PSCLYSt2pp	psicoselysine transport via proton symport (periplasm)	h[p] + psclys[p] --> h[c] + psclys[c]	Transport, Inner Membrane		b3370
PSCLYStex	psicoselysine transporter via diffusion (extracellular)	psclys[e] <==> psclys[p]	Transport, Outer Membrane Porin		( b0929  or  b2215  or  b1377  or  b0241 )
PSCVT	3-phosphoshikimate 1-carboxyvinyltransferase	[c] : pep + skm5p <==> 3psme + pi	Tyrosine, Tryptophan, and Phenylalanine Metabolism	2.5.1.19	b0908
PSD120	Phosphatidylserine decarboxylase (n-C12:0)	[c] : h + ps120 --> co2 + pe120	Glycerophospholipid Metabolism	4.1.1.65	b4160
PSD140	Phosphatidylserine decarboxylase (n-C14:0)	[c] : h + ps140 --> co2 + pe140	Glycerophospholipid Metabolism	4.1.1.65	b4160
PSD141	Phosphatidylserine decarboxylase (n-C14:1)	[c] : h + ps141 --> co2 + pe141	Glycerophospholipid Metabolism	4.1.1.65	b4160
PSD160	Phosphatidylserine decarboxylase (n-C16:0)	[c] : h + ps160 --> co2 + pe160	Glycerophospholipid Metabolism	4.1.1.65	b4160
PSD161	Phosphatidylserine decarboxylase (n-C16:1)	[c] : h + ps161 --> co2 + pe161	Glycerophospholipid Metabolism	4.1.1.65	b4160
PSD180	Phosphatidylserine decarboxylase (n-C18:0)	[c] : h + ps180 --> co2 + pe180	Glycerophospholipid Metabolism	4.1.1.65	b4160
PSD181	Phosphatidylserine decarboxylase (n-C18:1)	[c] : h + ps181 --> co2 + pe181	Glycerophospholipid Metabolism	4.1.1.65	b4160
PSERT	phosphoserine transaminase	[c] : 3php + glu-L --> akg + pser-L	Glycine and Serine Metabolism	2.6.1.52	b0907
PSERtex	phospho-L-serine transport via diffusion (extracellular to periplasm)	pser-L[e] <==> pser-L[p]	Transport, Outer Membrane Porin		( b0241  or  b0929  or  b1377  or  b2215 )
PSP_L	phosphoserine phosphatase (L-serine)	[c] : h2o + pser-L --> pi + ser-L	Glycine and Serine Metabolism	3.1.3.3	b4388
PSP_Lpp	phospho-L-serine phosphatase (periplasmic)	[p] : h2o + pser-L --> pi + ser-L	Glycine and Serine Metabolism		b4055
PSSA120	Phosphatidylserine syntase (n-C12:0)	[c] : cdpdddecg + ser-L --> cmp + h + ps120	Glycerophospholipid Metabolism	2.7.8.8	b2585
PSSA140	Phosphatidylserine syntase (n-C14:0)	[c] : cdpdtdecg + ser-L --> cmp + h + ps140	Glycerophospholipid Metabolism	2.7.8.8	b2585
PSSA141	Phosphatidylserine syntase (n-C14:1)	[c] : cdpdtdec7eg + ser-L --> cmp + h + ps141	Glycerophospholipid Metabolism	2.7.8.8	b2585
PSSA160	Phosphatidylserine syntase (n-C16:0)	[c] : cdpdhdecg + ser-L --> cmp + h + ps160	Glycerophospholipid Metabolism	2.7.8.8	b2585
PSSA161	Phosphatidylserine syntase (n-C16:1)	[c] : cdpdhdec9eg + ser-L --> cmp + h + ps161	Glycerophospholipid Metabolism	2.7.8.8	b2585
PSSA180	Phosphatidylserine syntase (n-C18:0)	[c] : cdpdodecg + ser-L --> cmp + h + ps180	Glycerophospholipid Metabolism	2.7.8.8	b2585
PSSA181	Phosphatidylserine syntase (n-C18:1)	[c] : cdpdodec11eg + ser-L --> cmp + h + ps181	Glycerophospholipid Metabolism	2.7.8.8	b2585
PTA2	Phosphate acetyltransferase	[c] : pi + ppcoa --> coa + ppap	Alternate Carbon Metabolism		b2297
PTAr	phosphotransacetylase	[c] : accoa + pi <==> actp + coa	Pyruvate Metabolism	2.3.1.8	( b2458  or  b2297 )
PTHRpp	phospho-L-threonine phosphatase (periplasmic)	[p] : h2o + thrp --> pi + thr-L	Threonine and Lysine Metabolism		b4055
PTPATi	pantetheine-phosphate adenylyltransferase	[c] : atp + h + pan4p --> dpcoa + ppi	Cofactor and Prosthetic Group Biosynthesis	2.7.7.3	b3634
PTRCabcpp	putrescine transport via ABC system (periplasm)	atp[c] + h2o[c] + ptrc[p] --> adp[c] + h[c] + pi[c] + ptrc[c]	Transport, Inner Membrane		( ( b0854  and  b0855  and  b0856  and  b0857 )  or  ( b1126  and  b1125  and  b1124  and  b1123 )  or  ( b1440  and  b1441  and  b1442  and  b1443 ) )
PTRCORNt7pp	putrescine/ornithine antiporter (periplasm)	orn[c] + ptrc[p] <==> orn[p] + ptrc[c]	Transport, Inner Membrane		b0692
PTRCt2pp	putrescine transport in via proton symport	h[p] + ptrc[p] --> h[c] + ptrc[c]	Transport, Inner Membrane		( b1296  or  b0692 )
PTRCTA	Putrescine Transaminase	[c] : akg + ptrc --> 4abutn + glu-L	Arginine and Proline Metabolism	2.6.1.29	b3073
PTRCtex	putrescine transport via diffusion (extracellular to periplasm)	ptrc[e] <==> ptrc[p]	Transport, Outer Membrane Porin		( b0241  or  b0929  or  b1377  or  b2215 )
PUNP1	purine-nucleoside phosphorylase (Adenosine)	[c] : adn + pi <==> ade + r1p	Nucleotide Salvage Pathway	2.4.2.1	b4384
PUNP2	purine-nucleoside phosphorylase (Deoxyadenosine)	[c] : dad-2 + pi <==> 2dr1p + ade	Nucleotide Salvage Pathway	2.4.2.1	b4384
PUNP3	purine-nucleoside phosphorylase (Guanosine)	[c] : gsn + pi <==> gua + r1p	Nucleotide Salvage Pathway	2.4.2.1	( b2407  or  b4384 )
PUNP4	purine-nucleoside phosphorylase (Deoxyguanosine)	[c] : dgsn + pi <==> 2dr1p + gua	Nucleotide Salvage Pathway	2.4.2.1	( b2407  or  b4384 )
PUNP5	purine-nucleoside phosphorylase (Inosine)	[c] : ins + pi <==> hxan + r1p	Nucleotide Salvage Pathway	2.4.2.1	( b2407  or  b4384 )
PUNP6	purine-nucleoside phosphorylase (Deoxyinosine)	[c] : din + pi <==> 2dr1p + hxan	Nucleotide Salvage Pathway	2.4.2.1	( b2407  or  b4384 )
PUNP7	purine-nucleoside phosphorylase (Xanthosine)	[c] : pi + xtsn <==> r1p + xan	Nucleotide Salvage Pathway	2.4.2.1	b2407
PYAM5PO	pyridoxamine 5'-phosphate oxidase	[c] : h2o + o2 + pyam5p --> h2o2 + nh4 + pydx5p	Cofactor and Prosthetic Group Biosynthesis	1.4.3.5	b1638
PYDAMK	pyridoxamine kinase	[c] : atp + pydam --> adp + h + pyam5p	Cofactor and Prosthetic Group Biosynthesis	2.7.1.35	b2418
PYDXK	pyridoxal kinase	[c] : atp + pydx --> adp + h + pydx5p	Cofactor and Prosthetic Group Biosynthesis	2.7.1.35	( b2418  or  b1636 )
PYDXNK	pyridoxine kinase	[c] : atp + pydxn --> adp + h + pdx5p	Cofactor and Prosthetic Group Biosynthesis	2.7.1.35	b2418
PYDXPP	Pyridoxal 5-phosphate phosphatase	[c] : h2o + pydx5p --> pi + pydx	Cofactor and Prosthetic Group Biosynthesis		
PYK	pyruvate kinase	[c] : adp + h + pep --> atp + pyr	Glycolysis/Gluconeogenesis	2.7.1.40	( b1854  or  b1676 )
PYNP2r	pyrimidine-nucleoside phosphorylase (uracil)	[c] : pi + uri <==> r1p + ura	Nucleotide Salvage Pathway	2.4.2.2	b3831
PYRt2rpp	pyruvate reversible transport via proton symport (periplasm)	h[p] + pyr[p] <==> h[c] + pyr[c]	Transport, Inner Membrane		
PYRtex	pyruvate transport via diffusion (extracellular to periplasm)	pyr[e] <==> pyr[p]	Transport, Outer Membrane Porin		( b0241  or  b0929  or  b1377  or  b2215 )
QMO2	quinol monooxygenase (Ubiquinol-8)	[c] : (2) o2 + q8h2 --> (2) h + (2) o2s + q8	Oxidative Phosphorylation		b3029
QMO3	quinol monooxygenase (menaquinol 8)	[c] : mql8 + (2) o2 --> (2) h + mqn8 + (2) o2s	Oxidative Phosphorylation		b3029
QULNS	quinolinate synthase	[c] : dhap + iasp --> (2) h2o + pi + quln	Cofactor and Prosthetic Group Biosynthesis		b0750
R15BPK	ribose-1,5-bisphosphokinase	[c] : atp + r15bp --> adp + prpp	Alternate Carbon Metabolism		b4094
R1PK	ribose 1-phosphokinase	[c] : atp + r1p --> adp + h + r15bp	Alternate Carbon Metabolism		
R5PP	ribose 5-phosphate phosphatase	[c] : h2o + r5p --> pi + rib-D	Alternate Carbon Metabolism		b0822
R5PPpp	ribose 5-phosphate phosphatase	[p] : h2o + r5p --> pi + rib-D	Alternate Carbon Metabolism		b4055
R5Ptex	Ribose 5-phosphate transport via diffusion (extracellular to periplasm)	r5p[e] <==> r5p[p]	Transport, Outer Membrane Porin		( b0241  or  b0929  or  b1377  or  b2215 )
RBFK	riboflavin kinase	[c] : atp + ribflv --> adp + fmn + h	Cofactor and Prosthetic Group Biosynthesis	2.7.1.26	b0025
RBFSa	riboflavin synthase	[c] : 4r5au + db4p --> dmlz + (2) h2o + pi	Cofactor and Prosthetic Group Biosynthesis	2.5.1.9	b1662
RBFSb	riboflavin synthase	[c] : (2) dmlz --> 4r5au + ribflv	Cofactor and Prosthetic Group Biosynthesis	2.5.1.9	b0415
RBK	ribokinase	[c] : atp + rib-D --> adp + h + r5p	Alternate Carbon Metabolism	2.7.1.15	b3752
RBK_L1	L-ribulokinase (L-ribulose)	[c] : atp + rbl-L --> adp + h + ru5p-L	Alternate Carbon Metabolism	2.7.1.16	b0063
RBP4E	L-ribulose-phosphate 4-epimerase	[c] : ru5p-L <==> xu5p-D	Alternate Carbon Metabolism	5.1.3.4	( b0061  or  b4198  or  b3583 )
RHAT1	rhamnosyltransferase I (LPS core biosynthesis)	[c] : dtdprmn + kphphhlipa --> dtdp + h + icolipa	Lipopolysaccharide Biosynthesis / Recycling		b3629
RHCCE	S-ribosylhomocysteine cleavage enzyme	[c] : rhcys --> dhptd + hcys-L	Methionine Metabolism		b2687
RIBabcpp	D-ribose transport via ABC system (periplasm)	atp[c] + h2o[c] + rib-D[p] --> adp[c] + h[c] + pi[c] + rib-D[c]	Transport, Inner Membrane		( ( b4231  and  b4227  and  b4485  and  b4230 )  or  ( b3749  and  b3751  and  b3750  and  b3748 )  or  ( b4087  and  b4088  and  b4086 ) )
RIBtex	ribose transport via diffusion (extracellular to periplasm)	rib-D[e] <==> rib-D[p]	Transport, Outer Membrane Porin		( b0241  or  b0929  or  b1377  or  b2215 )
RMI	L-rhamnose isomerase	[c] : rmn <==> rml	Alternate Carbon Metabolism	5.3.1.14	b3903
RMK	rhamnulokinase	[c] : atp + rml --> adp + h + rml1p	Alternate Carbon Metabolism	2.7.1.5	b3904
RMNtex	L-rhamnose transport via diffusion (extracellular to periplasm)	rmn[e] <==> rmn[p]	Transport, Outer Membrane Porin		( b0241  or  b0929  or  b1377  or  b2215 )
RMNtpp	L-rhamnose transport via proton symport (periplasm)	h[p] + rmn[p] --> h[c] + rmn[c]	Transport, Inner Membrane		b3907
RMPA	Rhamnulose-1-phosphate aldolase	[c] : rml1p <==> dhap + lald-L	Alternate Carbon Metabolism	4.1.2.19	b3902
RNDR1	ribonucleoside-diphosphate reductase (ADP)	[c] : adp + trdrd --> dadp + h2o + trdox	Nucleotide Salvage Pathway	1.17.4.1	( ( ( b2234  and  b2235 )  and  b3781 )  or  ( ( b2234  and  b2235 )  and  b2582 ) )
RNDR1b	ribonucleoside-diphosphate reductase (ADP) (glutaredoxin)	[c] : adp + grxrd --> dadp + grxox + h2o	Nucleotide Salvage Pathway		( ( b1654  and  ( b2675  and  b2676 ) )  or  ( b0849  and  ( b2675  and  b2676 ) )  or  ( b1064  and  ( b2675  and  b2676 ) )  or  ( b3610  and  ( b2675  and  b2676 ) ) )
RNDR2	ribonucleoside-diphosphate reductase (GDP)	[c] : gdp + trdrd --> dgdp + h2o + trdox	Nucleotide Salvage Pathway	1.17.4.1	( ( ( b2234  and  b2235 )  and  b2582 )  or  ( ( b2234  and  b2235 )  and  b3781 ) )
RNDR2b	ribonucleoside-diphosphate reductase (GDP) (glutaredoxin)	[c] : gdp + grxrd --> dgdp + grxox + h2o	Nucleotide Salvage Pathway		( ( b3610  and  ( b2675  and  b2676 ) )  or  ( b1064  and  ( b2675  and  b2676 ) )  or  ( b1654  and  ( b2675  and  b2676 ) )  or  ( b0849  and  ( b2675  and  b2676 ) ) )
RNDR3	ribonucleoside-diphosphate reductase (CDP)	[c] : cdp + trdrd --> dcdp + h2o + trdox	Nucleotide Salvage Pathway	1.17.4.1	( ( ( b2234  and  b2235 )  and  b2582 )  or  ( ( b2234  and  b2235 )  and  b3781 ) )
RNDR3b	ribonucleoside-diphosphate reductase (CDP) (glutaredoxin)	[c] : cdp + grxrd --> dcdp + grxox + h2o	Nucleotide Salvage Pathway		( ( b1654  and  ( b2675  and  b2676 ) )  or  ( b1064  and  ( b2675  and  b2676 ) )  or  ( b0849  and  ( b2675  and  b2676 ) )  or  ( b3610  and  ( b2675  and  b2676 ) ) )
