abbreviation	lowbnd	uppbnd	obj_coef	equation	officialName	geneAssociation	subsystem
PAPA120	0	1e3	0	h2o_c + pa120_c --> 12dgr120_c + pi_c	Phosphatidate phosphatase (n-C12:0)	b1278	Glycerophospholipid Metabolism
PAPA120pp	0	1e3	0	h2o_p + pa120_p --> 12dgr120_p + pi_p	Phosphatidate phosphatase (periplasmic, n-C12:0)	b1278	Glycerophospholipid Metabolism
PAPA140	0	1e3	0	h2o_c + pa140_c --> 12dgr140_c + pi_c	Phosphatidate phosphatase (n-C14:0)	b1278	Glycerophospholipid Metabolism
PAPA140pp	0	1e3	0	h2o_p + pa140_p --> 12dgr140_p + pi_p	Phosphatidate phosphatase (periplasmic, n-C14:0)	b1278	Glycerophospholipid Metabolism
PAPA141	0	1e3	0	h2o_c + pa141_c --> 12dgr141_c + pi_c	Phosphatidate phosphatase (n-C14:1)	b1278	Glycerophospholipid Metabolism
PAPA141pp	0	1e3	0	h2o_p + pa141_p --> 12dgr141_p + pi_p	Phosphatidate phosphatase (periplasmic, n-C14:1)	b1278	Glycerophospholipid Metabolism
PAPA160	0	1e3	0	h2o_c + pa160_c --> 12dgr160_c + pi_c	Phosphatidate phosphatase (n-C16:0)	b1278	Glycerophospholipid Metabolism
PAPA160pp	0	1e3	0	h2o_p + pa160_p --> 12dgr160_p + pi_p	Phosphatidate phosphatase (periplasmic, n-C16:0)	b1278	Glycerophospholipid Metabolism
PAPA161	0	1e3	0	h2o_c + pa161_c --> 12dgr161_c + pi_c	Phosphatidate phosphatase (n-C16:1)	b1278	Glycerophospholipid Metabolism
PAPA161pp	0	1e3	0	h2o_p + pa161_p --> 12dgr161_p + pi_p	Phosphatidate phosphatase (periplasmic, n-C16:1)	b1278	Glycerophospholipid Metabolism
PAPA180	0	1e3	0	h2o_c + pa180_c --> 12dgr180_c + pi_c	Phosphatidate phosphatase (n-C18:0)	b1278	Glycerophospholipid Metabolism
PAPA180pp	0	1e3	0	h2o_p + pa180_p --> 12dgr180_p + pi_p	Phosphatidate phosphatase (periplasmic, n-C18:0)	b1278	Glycerophospholipid Metabolism
PAPA181	0	1e3	0	h2o_c + pa181_c --> 12dgr181_c + pi_c	Phosphatidate phosphatase (n-C18:1)	b1278	Glycerophospholipid Metabolism
PAPA181pp	0	1e3	0	h2o_p + pa181_p --> 12dgr181_p + pi_p	Phosphatidate phosphatase (periplasmic, n-C18:1)	b1278	Glycerophospholipid Metabolism
PAPPT3	0	1e3	0	udcpp_c + ugmda_c --> ump_c + uagmda_c	Phospho-N-acetylmuramoyl-pentapeptide-transferase (meso-2,6-diaminopimelate)	b0087	Cell Envelope Biosynthesis
PAPSR	0	1e3	0	paps_c + trdrd_c --> (2) h_c + pap_c + so3_c + trdox_c	Phosphoadenylyl-sulfate reductase (thioredoxin)	(b2762 and b2582) or (b2762 and b3781)	Cysteine Metabolism
PAPSR2	0	1e3	0	paps_c + grxrd_c --> (2) h_c + pap_c + so3_c + grxox_c	Phosphoadenylyl-sulfate reductase (glutaredoxin)	(b2762 and b0849) or (b2762 and b1064) or (b2762 and b1654) or (b2762 and b3610)	Cysteine Metabolism
PDE1	0	1e3	0	h2o_c + camp_c --> h_c + amp_c	3',5'-cyclic-nucleotide phosphodiesterase	b1489	Nucleotide Salvage Pathway
PDE4	0	1e3	0	h2o_c + 35cgmp_c --> h_c + gmp_c	3',5'-cyclic-nucleotide phosphodiesterase	b1489	Nucleotide Salvage Pathway
PDH	0	1e3	0	nad_c + coa_c + pyr_c --> nadh_c + co2_c + accoa_c	Pyruvate dehydrogenase	b0114 and b0115 and b0116	Glycolysis/Gluconeogenesis
PDX5PO2	0	1e3	0	nad_c + pdx5p_c --> h_c + nadh_c + pydx5p_c	Pyridoxine 5'-phosphate oxidase (anaerboic		Cofactor and Prosthetic Group Biosynthesis
PDX5POi	0	1e3	0	o2_c + pdx5p_c --> h2o2_c + pydx5p_c	Pyridoxine 5'-phosphate oxidase	b1638	Cofactor and Prosthetic Group Biosynthesis
PDX5PS	0	1e3	0	nad_c + phthr_c + dxyl5p_c --> (2) h2o_c + h_c + pi_c + nadh_c + co2_c + pdx5p_c	Pyridoxine 5'-phosphate synthase	b0052 and b2564	Cofactor and Prosthetic Group Biosynthesis
PDXPP	0	1e3	0	h2o_c + pdx5p_c --> pi_c + pydxn_c	Pyridoxine 5-phosphate phosphatase	b0766	Cofactor and Prosthetic Group Biosynthesis
PE120abcpp	0	1e3	0	atp_c + h2o_c + pe120_c --> adp_c + h_c + pi_c + pe120_p	Phosphatidylethanolamine transport via ABC system (n-C12:0, periplasm)	b0914	Transport, Inner Membrane
PE140abcpp	0	1e3	0	atp_c + h2o_c + pe140_c --> adp_c + h_c + pi_c + pe140_p	Phosphatidylethanolamine transport via ABC system (n-C14:0, periplasm)	b0914	Transport, Inner Membrane
PE141abcpp	0	1e3	0	atp_c + h2o_c + pe141_c --> adp_c + h_c + pi_c + pe141_p	Phosphatidylethanolamine transport via ABC system (n-C14:1, periplasm)	b0914	Transport, Inner Membrane
PE160abcpp	0	1e3	0	atp_c + h2o_c + pe160_c --> adp_c + h_c + pi_c + pe160_p	Phosphatidylethanolamine transport via ABC system (n-C16:0, periplasm)	b0914	Transport, Inner Membrane
PE161abcpp	0	1e3	0	atp_c + h2o_c + pe161_c --> adp_c + h_c + pi_c + pe161_p	Phosphatidylethanolamine transport via ABC system (n-C16:1, periplasm)	b0914	Transport, Inner Membrane
PE180abcpp	0	1e3	0	atp_c + h2o_c + pe180_c --> adp_c + h_c + pi_c + pe180_p	Phosphatidylethanolamine transport via ABC system (n-C18:0, periplasm)	b0914	Transport, Inner Membrane
PE181abcpp	0	1e3	0	atp_c + h2o_c + pe181_c --> adp_c + h_c + pi_c + pe181_p	Phosphatidylethanolamine transport via ABC system (n-C18:1, periplasm)	b0914	Transport, Inner Membrane
PEAMNOpp	0	1e3	0	h2o_p + o2_p + peamn_p --> h2o2_p + nh4_p + pacald_p	Phenethylamine oxidase	b1386	Nitrogen Metabolism
PEAMNtex	-1e3	1e3	0	peamn_e <==> peamn_p	Phenethylamine transport via diffusion (extracellular to periplasm)	b0241 or b0929 or b1377 or b2215	Transport, Outer Membrane Porin
PERD	-1e3	1e3	0	nad_c + 4per_c <==> h_c + nadh_c + ohpb_c	Erythronate 4-phosphate (4per) dehydrogenase	b2320	Cofactor and Prosthetic Group Biosynthesis
PETNT161pp	0	1e3	0	pe161_p + lipa_p --> 12dgr161_p + enlipa_p	Phosphoethanolamine transferase (c-C16:1)	b3546	Lipopolysaccharide Biosynthesis / Recycling
PETNT181pp	0	1e3	0	pe181_p + lipa_p --> 12dgr181_p + enlipa_p	Phosphoethanolamine transferase (c-C16:1)	b3546	Lipopolysaccharide Biosynthesis / Recycling
PFK	0	1e3	0	atp_c + f6p_c --> adp_c + h_c + fdp_c	Phosphofructokinase	b3916 or b1723	Glycolysis/Gluconeogenesis
PFK_2	0	1e3	0	atp_c + tag6p__D_c --> adp_c + h_c + tagdp__D_c	Phosphofructokinase	b3916	Alternate Carbon Metabolism
PFK_3	0	1e3	0	atp_c + s7p_c --> adp_c + h_c + s17bp_c	Phosphofructokinase (s7p)	b3916	Pentose Phosphate Pathway
PFL	0	1e3	0	coa_c + pyr_c --> accoa_c + for_c	Pyruvate formate lyase	(b0902 and b0903) or (b0902 and b3114) or (b3951 and b3952) or ((b0902 and b0903) and b2579)	Pyruvate Metabolism
PG120abcpp	0	1e3	0	atp_c + h2o_c + pg120_c --> adp_c + h_c + pi_c + pg120_p	Phosphatidylglycerol transport via ABC system (n-C12:0, periplasm)	b0914	Transport, Inner Membrane
PG140abcpp	0	1e3	0	atp_c + h2o_c + pg140_c --> adp_c + h_c + pi_c + pg140_p	Phosphatidylglycerol transport via ABC system (n-C14:0, periplasm)	b0914	Transport, Inner Membrane
PG141abcpp	0	1e3	0	atp_c + h2o_c + pg141_c --> adp_c + h_c + pi_c + pg141_p	Phosphatidylglycerol transport via ABC system (n-C14:1, periplasm)	b0914	Transport, Inner Membrane
PG160abcpp	0	1e3	0	atp_c + h2o_c + pg160_c --> adp_c + h_c + pi_c + pg160_p	Phosphatidylglycerol transport via ABC system (n-C16:0, periplasm)	b0914	Transport, Inner Membrane
PG161abcpp	0	1e3	0	atp_c + h2o_c + pg161_c --> adp_c + h_c + pi_c + pg161_p	Phosphatidylglycerol transport via ABC system (n-C16:1, periplasm)	b0914	Transport, Inner Membrane
PG180abcpp	0	1e3	0	atp_c + h2o_c + pg180_c --> adp_c + h_c + pi_c + pg180_p	Phosphatidylglycerol transport via ABC system (n-C18:0, periplasm)	b0914	Transport, Inner Membrane
PG181abcpp	0	1e3	0	atp_c + h2o_c + pg181_c --> adp_c + h_c + pi_c + pg181_p	Phosphatidylglycerol transport via ABC system (n-C18:1, periplasm)	b0914	Transport, Inner Membrane
PGAMT	-1e3	1e3	0	gam1p_c <==> gam6p_c	Phosphoglucosamine mutase	b3176	Cell Envelope Biosynthesis
PGCD	0	1e3	0	nad_c + 3pg_c --> h_c + nadh_c + 3php_c	Phosphoglycerate dehydrogenase	b2913	Glycine and Serine Metabolism
PGI	-1e3	1e3	0	g6p_c <==> f6p_c	Glucose-6-phosphate isomerase	b4025	Glycolysis/Gluconeogenesis
PGK	-1e3	1e3	0	atp_c + 3pg_c <==> adp_c + 13dpg_c	Phosphoglycerate kinase	b2926	Glycolysis/Gluconeogenesis
PGL	0	1e3	0	h2o_c + 6pgl_c --> h_c + 6pgc_c	6-phosphogluconolactonase	b0767	Pentose Phosphate Pathway
PGLYCP	0	1e3	0	h2o_c + 2pglyc_c --> pi_c + glyclt_c	Phosphoglycolate phosphatase	b3385	Alternate Carbon Metabolism
PGM	-1e3	1e3	0	2pg_c <==> 3pg_c	Phosphoglycerate mutase	b3612 or b4395 or b0755	Glycolysis/Gluconeogenesis
PGMT	-1e3	1e3	0	g1p_c <==> g6p_c	Phosphoglucomutase	b2690 or b0688	Alternate Carbon Metabolism
PGP120abcpp	0	1e3	0	atp_c + h2o_c + pgp120_c --> adp_c + h_c + pi_c + pgp120_p	Phosphatidylglycerophosphate transport via ABC system (n-C12:0, periplasm)	b0914	Transport, Inner Membrane
PGP140abcpp	0	1e3	0	atp_c + h2o_c + pgp140_c --> adp_c + h_c + pi_c + pgp140_p	Phosphatidylglycerophosphate transport via ABC system (n-C14:0, periplasm)	b0914	Transport, Inner Membrane
PGP141abcpp	0	1e3	0	atp_c + h2o_c + pgp141_c --> adp_c + h_c + pi_c + pgp141_p	Phosphatidylglycerophosphate transport via ABC system (n-C14:1, periplasm)	b0914	Transport, Inner Membrane
PGP160abcpp	0	1e3	0	atp_c + h2o_c + pgp160_c --> adp_c + h_c + pi_c + pgp160_p	Phosphatidylglycerophosphate transport via ABC system (n-C16:0, periplasm)	b0914	Transport, Inner Membrane
PGP161abcpp	0	1e3	0	atp_c + h2o_c + pgp161_c --> adp_c + h_c + pi_c + pgp161_p	Phosphatidylglycerophosphate transport via ABC system (n-C16:1, periplasm)	b0914	Transport, Inner Membrane
PGP180abcpp	0	1e3	0	atp_c + h2o_c + pgp180_c --> adp_c + h_c + pi_c + pgp180_p	Phosphatidylglycerophosphate transport via ABC system (n-C18:0, periplasm)	b0914	Transport, Inner Membrane
PGP181abcpp	0	1e3	0	atp_c + h2o_c + pgp181_c --> adp_c + h_c + pi_c + pgp181_p	Phosphatidylglycerophosphate transport via ABC system (n-C18:1, periplasm)	b0914	Transport, Inner Membrane
PGPP120	0	1e3	0	h2o_c + pgp120_c --> pi_c + pg120_c	Phosphatidylglycerol phosphate phosphatase (n-C14:0)	b1278 or b0418	Glycerophospholipid Metabolism
PGPP120pp	0	1e3	0	h2o_p + pgp120_p --> pi_p + pg120_p	Phosphatidylglycerol phosphate phosphatase (periplasm, n-C14:0)	b0418 or b1278	Glycerophospholipid Metabolism
PGPP140	0	1e3	0	h2o_c + pgp140_c --> pi_c + pg140_c	Phosphatidylglycerol phosphate phosphatase (n-C14:0)	b1278 or b0418	Glycerophospholipid Metabolism
PGPP140pp	0	1e3	0	h2o_p + pgp140_p --> pi_p + pg140_p	Phosphatidylglycerol phosphate phosphatase (periplasm, n-C14:0)	b0418 or b1278	Glycerophospholipid Metabolism
PGPP141	0	1e3	0	h2o_c + pgp141_c --> pi_c + pg141_c	Phosphatidylglycerol phosphate phosphatase (n-C14:1)	b1278 or b0418	Glycerophospholipid Metabolism
PGPP141pp	0	1e3	0	h2o_p + pgp141_p --> pi_p + pg141_p	Phosphatidylglycerol phosphate phosphatase (periplasm, n-C14:1)	b0418 or b1278	Glycerophospholipid Metabolism
PGPP160	0	1e3	0	h2o_c + pgp160_c --> pi_c + pg160_c	Phosphatidylglycerol phosphate phosphatase (n-C16:0)	b0418 or b1278	Glycerophospholipid Metabolism
PGPP160pp	0	1e3	0	h2o_p + pgp160_p --> pi_p + pg160_p	Phosphatidylglycerol phosphate phosphatase (periplasm, n-C16:0)	b0418 or b1278	Glycerophospholipid Metabolism
PGPP161	0	1e3	0	h2o_c + pgp161_c --> pi_c + pg161_c	Phosphatidylglycerol phosphate phosphatase (n-C16:1)	b1278 or b0418	Glycerophospholipid Metabolism
PGPP161pp	0	1e3	0	h2o_p + pgp161_p --> pi_p + pg161_p	Phosphatidylglycerol phosphate phosphatase (periplasm, n-C16:1)	b0418 or b1278	Glycerophospholipid Metabolism
PGPP180	0	1e3	0	h2o_c + pgp180_c --> pi_c + pg180_c	Phosphatidylglycerol phosphate phosphatase (n-C18:0)	b0418 or b1278	Glycerophospholipid Metabolism
PGPP180pp	0	1e3	0	h2o_p + pgp180_p --> pi_p + pg180_p	Phosphatidylglycerol phosphate phosphatase (periplasm, n-C18:0)	b0418 or b1278	Glycerophospholipid Metabolism
PGPP181	0	1e3	0	h2o_c + pgp181_c --> pi_c + pg181_c	Phosphatidylglycerol phosphate phosphatase (n-C18:1)	b1278 or b0418	Glycerophospholipid Metabolism
PGPP181pp	0	1e3	0	h2o_p + pgp181_p --> pi_p + pg181_p	Phosphatidylglycerol phosphate phosphatase (periplasm, n-C18:1)	b0418 or b1278	Glycerophospholipid Metabolism
PGSA120	0	1e3	0	glyc3p_c + cdpdddecg_c --> h_c + cmp_c + pgp120_c	Phosphatidylglycerol synthase (n-C12:0)	b1912	Glycerophospholipid Metabolism
PGSA140	0	1e3	0	glyc3p_c + cdpdtdecg_c --> h_c + cmp_c + pgp140_c	Phosphatidylglycerol synthase (n-C14:0)	b1912	Glycerophospholipid Metabolism
PGSA141	0	1e3	0	glyc3p_c + cdpdtdec7eg_c --> h_c + cmp_c + pgp141_c	Phosphatidylglycerol synthase (n-C14:1)	b1912	Glycerophospholipid Metabolism
PGSA160	0	1e3	0	glyc3p_c + cdpdhdecg_c --> h_c + cmp_c + pgp160_c	Phosphatidylglycerol synthase (n-C16:0)	b1912	Glycerophospholipid Metabolism
PGSA161	0	1e3	0	glyc3p_c + cdpdhdec9eg_c --> h_c + cmp_c + pgp161_c	Phosphatidylglycerol synthase (n-C16:1)	b1912	Glycerophospholipid Metabolism
PGSA180	0	1e3	0	glyc3p_c + cdpdodecg_c --> h_c + cmp_c + pgp180_c	Phosphatidylglycerol synthase (n-C18:0)	b1912	Glycerophospholipid Metabolism
PGSA181	0	1e3	0	glyc3p_c + cdpdodec11eg_c --> h_c + cmp_c + pgp181_c	Phosphatidylglycerol synthase (n-C18:1)	b1912	Glycerophospholipid Metabolism
PHEMEabcpp	0	1e3	0	atp_c + h2o_c + pheme_c --> adp_c + h_c + pi_c + pheme_p	Protoheme transport via ABC system (periplasm)	b2201 and b2200 and b2199 and b2198 and b2197	Transport, Inner Membrane
PHEMEtiex	0	1e3	0	pheme_p --> pheme_e	Protoheme transport irreversible out via diffusion (periplasm to extracellular)		Transport, Outer Membrane
PHETA1	-1e3	1e3	0	akg_c + phe__L_c <==> glu__L_c + phpyr_c	Phenylalanine transaminase	b4054 or b0928 or b3770	Tyrosine, Tryptophan, and Phenylalanine Metabolism
PHETRS	0	1e3	0	atp_c + phe__L_c + trnaphe_c --> amp_c + ppi_c + phetrna_c	Phenylalanyl-tRNA synthetase	b1713 and b1714	tRNA Charging
PHEt2rpp	-1e3	1e3	0	h_p + phe__L_p <==> h_c + phe__L_c	L-phenylalanine reversible transport via proton symport (periplasm)	b1473 or b0112 or b0576	Transport, Inner Membrane
PHEtex	-1e3	1e3	0	phe__L_e <==> phe__L_p	L-phenylalanine transport via diffusion (extracellular to periplasm)	b0241 or b0929 or b1377 or b2215	Transport, Outer Membrane Porin
PHYTSpp	0	1e3	0	(6) h2o_p + minohp_p --> (6) pi_p + inost_p	Phytase (periplasm)	b0980	Alternate Carbon Metabolism
PIt2rpp	-1e3	1e3	0	h_p + pi_p <==> h_c + pi_c	Phosphate reversible transport via symport (periplasm)	b2987 or b3493	Inorganic Ion Transport and Metabolism
PItex	-1e3	1e3	0	pi_e <==> pi_p	Phosphate transport via diffusion (extracellular to periplasm)	b0241 or b0929 or b1377 or b2215	Transport, Outer Membrane Porin
PIuabcpp	0	1e3	0	atp_c + h2o_c + pi_p --> adp_c + h_c + (2) pi_c	Phosphate transport via ABC system (uptake, periplasm)	b3726 and b3725 and b3727 and b3728	Inorganic Ion Transport and Metabolism
PLIPA1A120pp	0	1e3	0	h2o_p + pa120_p --> 2ddecg3p_p + ddca_p	Phospholipase A1 (phosphatidate, n-C12:0) (periplasm)	b3821	Glycerophospholipid Metabolism
PLIPA1A140pp	0	1e3	0	h2o_p + pa140_p --> 2tdecg3p_p + ttdca_p	Phospholipase A1 (phosphatidate, n-C14:0) (periplasm)	b3821	Glycerophospholipid Metabolism
PLIPA1A141pp	0	1e3	0	h2o_p + pa141_p --> 2tdec7eg3p_p + ttdcea_p	Phospholipase A1 (phosphatidate, n-C14:1) (periplasm)	b3821	Glycerophospholipid Metabolism
PLIPA1A160pp	0	1e3	0	h2o_p + pa160_p --> 2hdecg3p_p + hdca_p	Phospholipase A1 (phosphatidate, n-C16:0) (periplasm)	b3821	Glycerophospholipid Metabolism
PLIPA1A161pp	0	1e3	0	h2o_p + pa161_p --> 2hdec9eg3p_p + hdcea_p	Phospholipase A1 (phosphatidate, n-C16:1) (periplasm)	b3821	Glycerophospholipid Metabolism
PLIPA1A180pp	0	1e3	0	h2o_p + pa180_p --> 2odecg3p_p + ocdca_p	Phospholipase A1 (phosphatidate, n-C18:0) (periplasm)	b3821	Glycerophospholipid Metabolism
PLIPA1A181pp	0	1e3	0	h2o_p + pa181_p --> 2odec11eg3p_p + ocdcea_p	Phospholipase A1 (phosphatidate, n-C18:1) (periplasm)	b3821	Glycerophospholipid Metabolism
PLIPA1E120pp	0	1e3	0	h2o_p + pe120_p --> h_p + 2agpe120_p + ddca_p	Phospholipase A1 (phosphatidylethanolamine, n-C12:0) (periplasm)	b3821	Glycerophospholipid Metabolism
PLIPA1E140pp	0	1e3	0	h2o_p + pe140_p --> h_p + 2agpe140_p + ttdca_p	Phospholipase A1 (phosphatidylethanolamine, n-C14:0) (periplasm)	b3821	Glycerophospholipid Metabolism
PLIPA1E141pp	0	1e3	0	h2o_p + pe141_p --> h_p + 2agpe141_p + ttdcea_p	Phospholipase A1 (phosphatidylethanolamine, n-C14:1) (periplasm)	b3821	Glycerophospholipid Metabolism
PLIPA1E160pp	0	1e3	0	h2o_p + pe160_p --> h_p + 2agpe160_p + hdca_p	Phospholipase A1 (phosphatidylethanolamine, n-C16:0) (periplasm)	b3821	Glycerophospholipid Metabolism
PLIPA1E161pp	0	1e3	0	h2o_p + pe161_p --> h_p + 2agpe161_p + hdcea_p	Phospholipase A1 (phosphatidylethanolamine, n-C16:1) (periplasm)	b3821	Glycerophospholipid Metabolism
PLIPA1E180pp	0	1e3	0	h2o_p + pe180_p --> h_p + 2agpe180_p + ocdca_p	Phospholipase A1 (phosphatidylethanolamine, n-C18:0) (periplasm)	b3821	Glycerophospholipid Metabolism
PLIPA1E181pp	0	1e3	0	h2o_p + pe181_p --> h_p + 2agpe181_p + ocdcea_p	Phospholipase A1 (phosphatidylethanolamine, n-C18:1) (periplasm)	b3821	Glycerophospholipid Metabolism
PLIPA1G120pp	0	1e3	0	h2o_p + pg120_p --> h_p + 2agpg120_p + ddca_p	Phospholipase A1 (phosphatidylglycerol, n-C12:0) (periplasm)	b3821	Glycerophospholipid Metabolism
PLIPA1G140pp	0	1e3	0	h2o_p + pg140_p --> h_p + 2agpg140_p + ttdca_p	Phospholipase A1 (phosphatidylglycerol, n-C14:0) (periplasm)	b3821	Glycerophospholipid Metabolism
PLIPA1G141pp	0	1e3	0	h2o_p + pg141_p --> h_p + 2agpg141_p + ttdcea_p	Phospholipase A1 (phosphatidylglycerol, n-C14:1) (periplasm)	b3821	Glycerophospholipid Metabolism
PLIPA1G160pp	0	1e3	0	h2o_p + pg160_p --> h_p + 2agpg160_p + hdca_p	Phospholipase A1 (phosphatidylglycerol, n-C16:0) (periplasm)	b3821	Glycerophospholipid Metabolism
PLIPA1G161pp	0	1e3	0	h2o_p + pg161_p --> h_p + 2agpg161_p + hdcea_p	Phospholipase A1 (phosphatidylglycerol, n-C16:1) (periplasm)	b3821	Glycerophospholipid Metabolism
PLIPA1G180pp	0	1e3	0	h2o_p + pg180_p --> h_p + 2agpg180_p + ocdca_p	Phospholipase A1 (phosphatidylglycerol, n-C18:0) (periplasm)	b3821	Glycerophospholipid Metabolism
PLIPA1G181pp	0	1e3	0	h2o_p + pg181_p --> h_p + 2agpg181_p + ocdcea_p	Phospholipase A1 (phosphatidylglycerol, n-C18:1) (periplasm)	b3821	Glycerophospholipid Metabolism
PLIPA2A120pp	0	1e3	0	h2o_p + pa120_p --> h_p + ddca_p + 1ddecg3p_p	Phospholipase A2 (phosphatidate, n-C12:0) (periplasm)	b3821	Glycerophospholipid Metabolism
PLIPA2A140pp	0	1e3	0	h2o_p + pa140_p --> h_p + ttdca_p + 1tdecg3p_p	Phospholipase A2 (phosphatidate, n-C14:0) (periplasm)	b3821	Glycerophospholipid Metabolism
PLIPA2A141pp	0	1e3	0	h2o_p + pa141_p --> h_p + ttdcea_p + 1tdec7eg3p_p	Phospholipase A2 (phosphatidate, n-C14:1) (periplasm)	b3821	Glycerophospholipid Metabolism
PLIPA2A160pp	0	1e3	0	h2o_p + pa160_p --> h_p + hdca_p + 1hdecg3p_p	Phospholipase A2 (phosphatidate, n-C16:0) (periplasm)	b3821	Glycerophospholipid Metabolism
PLIPA2A161pp	0	1e3	0	h2o_p + pa161_p --> h_p + hdcea_p + 1hdec9eg3p_p	Phospholipase A2 (phosphatidate, n-C16:1) (periplasm)	b3821	Glycerophospholipid Metabolism
PLIPA2A180pp	0	1e3	0	h2o_p + pa180_p --> h_p + ocdca_p + 1odecg3p_p	Phospholipase A2 (phosphatidate, n-C18:0) (periplasm)	b3821	Glycerophospholipid Metabolism
PLIPA2A181pp	0	1e3	0	h2o_p + pa181_p --> h_p + ocdcea_p + 1odec11eg3p_p	Phospholipase A2 (phosphatidate, n-C18:1) (periplasm)	b3821	Glycerophospholipid Metabolism
PLIPA2E120pp	0	1e3	0	h2o_p + pe120_p --> h_p + ddca_p + 1agpe120_p	Phospholipase A2 (phosphatidylethanolamine, n-C12:0) (periplasm)	b3821	Glycerophospholipid Metabolism
PLIPA2E140pp	0	1e3	0	h2o_p + pe140_p --> h_p + ttdca_p + 1agpe140_p	Phospholipase A2 (phosphatidylethanolamine, n-C14:0) (periplasm)	b3821	Glycerophospholipid Metabolism
PLIPA2E141pp	0	1e3	0	h2o_p + pe141_p --> h_p + ttdcea_p + 1agpe141_p	Phospholipase A2 (phosphatidylethanolamine, n-C14:1) (periplasm)	b3821	Glycerophospholipid Metabolism
PLIPA2E160pp	0	1e3	0	h2o_p + pe160_p --> h_p + hdca_p + 1agpe160_p	Phospholipase A2 (phosphatidylethanolamine, n-C16:0) (periplasm)	b3821	Glycerophospholipid Metabolism
PLIPA2E161pp	0	1e3	0	h2o_p + pe161_p --> h_p + hdcea_p + 1agpe161_p	Phospholipase A2 (phosphatidylethanolamine, n-C16:1) (periplasm)	b3821	Glycerophospholipid Metabolism
PLIPA2E180pp	0	1e3	0	h2o_p + pe180_p --> h_p + ocdca_p + 1agpe180_p	Phospholipase A2 (phosphatidylethanolamine, n-C18:0) (periplasm)	b3821	Glycerophospholipid Metabolism
PLIPA2E181pp	0	1e3	0	h2o_p + pe181_p --> h_p + ocdcea_p + 1agpe181_p	Phospholipase A2 (phosphatidylethanolamine, n-C18:1) (periplasm)	b3821	Glycerophospholipid Metabolism
PLIPA2G120pp	0	1e3	0	h2o_p + pg120_p --> h_p + ddca_p + 1agpg120_p	Phospholipase A2 (phosphatidylglycerol, n-C12:0) (periplasm)	b3821	Glycerophospholipid Metabolism
PLIPA2G140pp	0	1e3	0	h2o_p + pg140_p --> h_p + ttdca_p + 1agpg140_p	Phospholipase A2 (phosphatidylglycerol, n-C14:0) (periplasm)	b3821	Glycerophospholipid Metabolism
PLIPA2G141pp	0	1e3	0	h2o_p + pg141_p --> h_p + ttdcea_p + 1agpg141_p	Phospholipase A2 (phosphatidylglycerol, n-C14:1) (periplasm)	b3821	Glycerophospholipid Metabolism
PLIPA2G160pp	0	1e3	0	h2o_p + pg160_p --> h_p + hdca_p + 1agpg160_p	Phospholipase A2 (phosphatidylglycerol, n-C16:0) (periplasm)	b3821	Glycerophospholipid Metabolism
PLIPA2G161pp	0	1e3	0	h2o_p + pg161_p --> h_p + hdcea_p + 1agpg161_p	Phospholipase A2 (phosphatidylglycerol, n-C16:1) (periplasm)	b3821	Glycerophospholipid Metabolism
PLIPA2G180pp	0	1e3	0	h2o_p + pg180_p --> h_p + ocdca_p + 1agpg180_p	Phospholipase A2 (phosphatidylglycerol, n-C18:0) (periplasm)	b3821	Glycerophospholipid Metabolism
PLIPA2G181pp	0	1e3	0	h2o_p + pg181_p --> h_p + ocdcea_p + 1agpg181_p	Phospholipase A2 (phosphatidylglycerol, n-C18:1) (periplasm)	b3821	Glycerophospholipid Metabolism
PMANM	-1e3	1e3	0	man1p_c <==> man6p_c	Phosphomannomutase	b2048	Alternate Carbon Metabolism
PMDPHT	0	1e3	0	h2o_c + 5aprbu_c --> pi_c + 4r5au_c	Pyrimidine phosphatase		Cofactor and Prosthetic Group Biosynthesis
PMEACPE	0	1e3	0	h2o_c + pmeACP_c --> pimACP_c + meoh_c	Pimeloyl-[ACP] methyl ester esterase	b3412	Cofactor and Prosthetic Group Biosynthesis
PMPK	0	1e3	0	atp_c + 4ampm_c --> adp_c + 2mahmp_c	Phosphomethylpyrimidine kinase	b2103	Cofactor and Prosthetic Group Biosynthesis
PNTK	0	1e3	0	atp_c + pnto__R_c --> adp_c + h_c + 4ppan_c	Pantothenate kinase	b3974	Cofactor and Prosthetic Group Biosynthesis
PNTOt4pp	0	1e3	0	na1_p + pnto__R_p --> na1_c + pnto__R_c	Pantothenate sodium symporter (periplasm)	b3258	Transport, Inner Membrane
PNTOtex	-1e3	1e3	0	pnto__R_e <==> pnto__R_p	Pantothenate transport via diffusion (extracellular to periplasm)	b0241 or b0929 or b1377 or b2215	Transport, Outer Membrane Porin
POAACR	0	1e3	0	nadh_c + poaac_c --> h2o_c + nad_c + 3amac_c	Peroxyaminoacrylate reductase	b1010	Nucleotide Salvage Pathway
POR5	-1e3	1e3	0	coa_c + pyr_c + (2) flxso_c <==> h_c + co2_c + accoa_c + (2) flxr_c	Pyruvate synthase	(b0684 and b1378) or (b2895 and b1378)	Pyruvate Metabolism
POX	0	1e3	0	h2o_c + pyr_c + q8_c --> co2_c + ac_c + q8h2_c	Pyruvate oxidase	b0871	Oxidative Phosphorylation
PPA	0	1e3	0	h2o_c + ppi_c --> h_c + (2) pi_c	Inorganic diphosphatase	b2744 or b4226 or b2502	Anaplerotic Reactions
